,u,v,h,w,X,Y,Z,type,n_frame
416,719,213,19,13,58,969,100,blue,28
417,992,233,21,14,44,176,15,yellow,28
418,807,210,17,11,60,503,53,yellow,28
419,658,218,23,17,6,293,29,blue,28
420,912,210,12,10,115,602,64,yellow,28
421,871,208,14,11,160,978,105,yellow,28
422,1042,222,15,11,125,436,42,yellow,28
423,1049,223,13,10,20,69,7,yellow,28
424,940,209,12,10,61,288,31,yellow,28
425,898,280,47,32,37,193,9,yellow,29
426,939,250,28,19,207,953,70,yellow,29
427,925,365,84,61,65,286,-7,yellow,29
428,305,320,56,41,-90,425,6,blue,29
429,960,241,23,15,23,100,8,yellow,29
430,626,227,23,18,-1,545,49,blue,29
431,547,241,27,19,-8,147,12,blue,29
432,53,441,78,64,-383,977,-80,blue,29
433,460,261,38,28,-5,45,3,blue,29
434,731,219,19,14,5,69,7,yellow,29
435,988,232,21,13,88,355,32,yellow,29
436,804,213,15,11,69,588,61,blue,29
437,847,210,14,10,128,869,92,yellow,29
438,876,210,13,11,125,750,79,yellow,29
439,938,256,29,19,31,145,10,yellow,30
440,926,358,75,53,60,269,-5,yellow,30
441,214,339,60,46,-133,479,-1,blue,30
442,374,284,40,28,-55,325,15,blue,30
443,490,252,35,27,-84,922,64,blue,30
444,929,282,39,28,114,537,25,yellow,30
445,953,241,25,17,198,881,71,yellow,30
446,632,232,27,21,2,624,54,blue,30
447,720,221,20,14,14,233,22,blue,30
448,770,217,16,11,59,624,63,blue,30
449,914,214,14,10,52,270,28,yellow,30
450,803,214,14,10,78,668,69,yellow,30
451,947,230,17,12,38,176,16,yellow,30
452,874,208,12,11,164,996,107,yellow,30
453,762,203,12,10,9,103,11,yellow,30
454,941,222,15,11,129,606,59,yellow,30
455,778,206,12,11,92,934,102,yellow,30
456,925,255,36,25,170,813,55,yellow,31
457,490,261,38,27,-45,501,31,blue,31
458,261,317,53,40,-238,968,16,blue,31
459,928,289,47,33,85,395,16,yellow,31
460,899,229,26,18,145,771,69,yellow,31
461,613,230,27,20,-6,662,58,blue,31
462,967,347,71,53,203,805,-8,yellow,31
463,715,216,18,13,19,337,34,yellow,31
464,880,220,20,14,25,145,14,yellow,31
465,677,224,19,14,24,771,73,yellow,31
466,23,409,73,52,-261,623,-34,blue,31
467,842,211,16,12,31,214,22,yellow,31
468,662,205,14,10,10,493,54,yellow,31
469,794,205,13,11,43,396,43,yellow,31
470,683,209,16,11,11,321,34,blue,31
471,670,213,18,13,19,726,75,yellow,31
472,494,254,38,28,-39,447,30,blue,32
473,855,237,29,20,78,497,41,yellow,32
474,580,235,27,21,-31,976,82,blue,32
475,293,324,60,46,-193,877,8,blue,32
476,915,278,44,32,36,173,8,yellow,32
477,627,224,21,14,-1,490,46,blue,32
478,970,357,73,54,166,651,-11,yellow,32
479,826,223,21,16,119,882,83,yellow,32
480,592,214,17,12,-25,906,93,blue,32
481,778,209,20,13,78,768,81,yellow,32
482,718,204,16,11,3,59,7,yellow,32
483,568,209,16,11,-11,260,28,blue,32
484,522,209,12,11,-30,389,41,yellow,32
485,584,212,17,12,-3,91,9,yellow,32
